name,mfr,type
100% Bran,N,C
100% Natural Bran,Q,C
All-Bran,K,C
All-Bran with Extra Fiber,K,C
Almond Delight,R,C
Apple Cinnamon Cheerios,G,C
Apple Jacks,K,C
Basic 4,G,C
Bran Chex,R,C
Bran Flakes,P,C
Cap'n'Crunch,Q,C
Cheerios,G,C
Cinnamon Toast Crunch,G,C
Clusters,G,C
Cocoa Puffs,G,C
Corn Chex,R,C
Corn Flakes,K,C
Corn Pops,K,C
Count Chocula,G,C
Cracklin' Oat Bran,K,C
Cream of Wheat (Quick),N,H
Crispix,K,C
Crispy Wheat & Raisins,G,C
Double Chex,R,C
Froot Loops,K,C
Frosted Flakes,K,C
Frosted Mini-Wheats,K,C
Fruitful Bran,K,C
Fruity Pebbles,P,C
Golden Crisp,P,C
Golden Grahams,G,C
Grape Nuts Flakes,P,C
Grape-Nuts,P,C
Great Grains Pecan,P,C
Honey Graham Ohs,Q,C
Honey Nut Cheerios,G,C
Honey-comb,P,C
Just Right Crunchy  Nuggets,K,C
Just Right Fruit & Nut,K,C
Kix,G,C
Life,Q,C
Lucky Charms,G,C
Maypo,A,H
Mueslix Crispy Blend,K,C
Multi-Grain Cheerios,G,C
Nut&Honey Crunch,K,C
Nutri-Grain Almond-Raisin,K,C
Nutri-grain Wheat,K,C
Oatmeal Raisin Crisp,G,C
Post Nat. Raisin Bran,P,C
Product 19,K,C
Puffed Rice,Q,C
Puffed Wheat,Q,C
Quaker Oat Squares,Q,C
Quaker Oatmeal,Q,H
Raisin Bran,K,C
Raisin Nut Bran,G,C
Raisin Squares,K,C
Rice Chex,R,C
Rice Krispies,K,C
Shredded Wheat,N,C
Shredded Wheat 'n'Bran,N,C
Shredded Wheat spoon size,N,C
Smacks,K,C
Special K,K,C
Strawberry Fruit Wheats,N,C
Total Corn Flakes,G,C
Total Raisin Bran,G,C
Total Whole Grain,G,C
Triples,G,C
Trix,G,C
Wheat Chex,R,C
Wheaties,G,C
Wheaties Honey Gold,G,C
